stimulus_file,rule_A,rule_B,response_option_A,response_option_B,accuracyCriterion,latencyCriterion,moving_response_options,max_pairs_practice_blocks,n_pairs_test_blocks,intro_message,press_message,end_message,speed,accuracy,aim,percentCorrect,seconds,stimulus1_location,stimulus2_location,image_stimulus1_location,image_stimulus2_location,response_option_left_location,response_option_right_location,accuracy_feedback_location,stimulus1_category,stimulus2_category,trialType,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_Afirst.thisRepN,practice_Afirst.thisTrialN,practice_Afirst.thisN,practice_Afirst.thisIndex,practice_trials_Afirst.thisRepN,practice_trials_Afirst.thisTrialN,practice_trials_Afirst.thisN,practice_trials_Afirst.thisIndex,practice_trials_B.thisRepN,practice_trials_B.thisTrialN,practice_trials_B.thisN,practice_trials_B.thisIndex,labelA_stimuli_for_output,labelB_stimuli_for_output,targetA_stimuli_for_output,targetB_stimuli_for_output,labelA_image_stimuli_for_output,labelB_image_stimuli_for_output,targetA_image_stimuli_for_output,targetB_image_stimuli_for_output,intro_box.started,intro_resp.started,rule_box_A.started,preblock_response_A.started,left_box_A.started,right_box_A.started,image_stimulus1_box_A.started,image_stimulus2_box_A.started,stimulus1_box_A.started,stimulus2_box_A.started,required_response_A.started,feedback_response_A.started,accuracy_feedback_box_A.started,stimulus1,stimulus2,img_stimulus1,img_stimulus2,response_option_left,response_option_right,required_response_A.keys,required_response_A.corr,required_response_A.rt,feedback_response_A.keys,feedback_response_A.corr,feedback_response_A.rt,practice_aim_box_A.started,practice_accuracy_box_A.started,practice_latency_box_A.started,press_box_prac_A.started,practice_postblock_response_A.started,rule_box_B.started,preblock_response_B.started,left_box_B.started,right_box_B.started,image_stimulus1_box_B.started,image_stimulus2_box_B.started,stimulus1_box_B.started,stimulus2_box_B.started,required_response_B.started,feedback_response_B.started,accuracy_feedback_box_B.started,required_response_B.keys,required_response_B.corr,required_response_B.rt,feedback_response_B.keys,feedback_response_B.corr,feedback_response_B.rt,gender,age,participant,StartingBlock,UseMonkey,date,expName,psychopyVersion,frameRate,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,"['Autista', 'Autista', 'Autista', 'Autista', 'Autista', 'Autista']","['Normal', 'Normal', 'Normal', 'Normal', 'Normal', 'Normal']","['Inteligente', 'Afortunado', 'Agradable', 'Tranquilo', 'Normal', 'Divertido']","['Bruto', 'Trágico', 'Desagradable', 'Agresivo', 'Anormal', 'Aburrido']","['blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png']","['blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png']","['blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png']","['blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png', 'blank.png']",6.955662000000302,7.5461679,12.289335599998594,12.893662499998754,18.254093399998965,18.254093399998965,18.643364899999142,18.643364899999142,18.643364899999142,18.643364899999142,18.643364899999142,18.643364899999142,18.643364899999142,Autista,Agresivo,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,3.5276628000010533,i,1,2.015334800000346,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,d,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,22.20956279999882,22.20956279999882,22.580403199999637,22.580403199999637,22.580403199999637,22.580403199999637,22.580403199999637,22.580403199999637,22.580403199999637,Normal,Anormal,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,1.1520516000000498,e,1,0.5778411999999662,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,c,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,23.76774839999962,23.76774839999962,24.137857699999586,24.137857699999586,24.137857699999586,24.137857699999586,24.137857699999586,24.137857699999586,24.137857699999586,Normal,Tranquilo,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,3.1385144000014407,i,1,1.854962900000828,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,27.31460689999949,27.31460689999949,27.69084180000027,27.69084180000027,27.69084180000027,27.69084180000027,27.69084180000027,27.69084180000027,27.69084180000027,Autista,Inteligente,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,3.1579223000007914,e,1,0.9515248000006977,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,d,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,30.875597899999775,30.875597899999775,31.260928099998637,31.260928099998637,31.260928099998637,31.260928099998637,31.260928099998637,31.260928099998637,31.260928099998637,Autista,Aburrido,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,2.1760874000010517,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,d,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,33.46806519999882,33.46806519999882,33.84558169999946,33.84558169999946,33.84558169999946,33.84558169999946,33.84558169999946,33.84558169999946,33.84558169999946,Normal,Bruto,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,3.4872812000012345,e,1,1.981366000001799,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,c,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,37.36470720000034,37.36470720000034,37.74615730000005,37.74615730000005,37.74615730000005,37.74615730000005,37.74615730000005,37.74615730000005,37.74615730000005,Autista,Agradable,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,0.20097310000164725,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,c,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,2,,,,,,,,,,,,,,,,,37.973957500000324,37.973957500000324,38.35780599999998,38.35780599999998,38.35780599999998,38.35780599999998,38.35780599999998,38.35780599999998,38.35780599999998,Normal,Afortunado,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,0.14683920000061335,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,c,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,38.527181599998585,38.527181599998585,38.91516930000034,38.91516930000034,38.91516930000034,38.91516930000034,38.91516930000034,38.91516930000034,38.91516930000034,Normal,Normal,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,0.17522600000120292,i,1,0.06296240000119724,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,d,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,3,,,,,,,,,,,,,,,,,39.118227599999955,39.118227599999955,39.503602599999795,39.503602599999795,39.503602599999795,39.503602599999795,39.503602599999795,39.503602599999795,39.503602599999795,Normal,Desagradable,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,0.09277900000233785,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,d,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,39.626242000000275,39.626242000000275,40.005309999998644,40.005309999998644,40.005309999998644,40.005309999998644,40.005309999998644,40.005309999998644,40.005309999998644,Autista,Aburrido,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,0.061680700000579236,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,c,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,40.09696839999924,40.09696839999924,40.47727179999856,40.47727179999856,40.47727179999856,40.47727179999856,40.47727179999856,40.47727179999856,40.47727179999856,Autista,Inteligente,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,0.15372580000257585,e,1,0.021391300000686897,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,d,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,1,,,,,,,,,,,,,,,,,40.66124409999975,40.66124409999975,41.04509879999932,41.04509879999932,41.04509879999932,41.04509879999932,41.04509879999932,41.04509879999932,41.04509879999932,Autista,Trágico,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,0.08146230000056676,i,1,0.025761300001249765,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,d,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,13,3,,,,,,,,,,,,,,,,,41.152943299999606,41.152943299999606,41.53312819999883,41.53312819999883,41.53312819999883,41.53312819999883,41.53312819999883,41.53312819999883,41.53312819999883,Normal,Trágico,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,0.20757850000154576,e,1,0.06101360000138811,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",a,c,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,41.76533769999878,41.76533769999878,42.149792099999104,42.149792099999104,42.149792099999104,42.149792099999104,42.149792099999104,42.149792099999104,42.149792099999104,Autista,Normal,blank.png,blank.png,En desacuerdo,De acuerdo,i,1,0.038932700001168996,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
stimuli.xlsx,"A continuación, usted observará en la pantalla 2 palabras y de acuerdo a su criterio deberá reponder si esta de acuerdo o no. Marque las teclas de las vocales (e, i). Entonces, sí está: En desacuerdo (e) y sí está De acuerdo (i) ",A continuación  en la pantalla vera 2 palabras las cuales a su jucio debera reponder si son similares marcando la letra (e) y si son opuestas marcando la letra  (i),De acuerdo,En desacuerdo,0.8,2,0,2,3,"Bienvenido! Gracias por su tiempo. Por favor, siga las intruciones en pantalla.
Oprima (i) para continuar",Presione la tecla (e) o (i) para continuar,Gracias por participar oprima la tecla escape para salir,Speed:,Accuracy:,acertos >80% y <2 segundos,Porcentaje correcto,seconds,"[0, 0.2]","[0, -0.2]","[0, 0.3]","[0, -0.3]","[-0.3, -0.6]","[0.3, -0.6]","[0, -0.7]",b,c,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,42.216999499998565,42.216999499998565,42.60046929999953,42.60046929999953,42.60046929999953,42.60046929999953,42.60046929999953,42.60046929999953,42.60046929999953,Normal,Agradable,blank.png,blank.png,En desacuerdo,De acuerdo,e,1,0.10439159999987169,i,1,0.014136200001303223,,,,,,,,,,,,,,,,,,,,,,,,,,a,n,2022-08-31_11h47.16.916,IRAP,2022.2.4,144.5993585562066,
